word,definition,mock1,mock2,mock3,unsure 
proselytize,attempt to convert,dismiss,alert,speak in favor of,unsure 
intrepid,fearless,guide,uncaring,misinformed,unsure 
bilious,grumpy,depressed,stressed,unhealthy,unsure 
pugnacious,combative,lazy,popular,defensive,unsure 
probity,integrity,tenseness,curiosity,likelihood,unsure 
jaundice,bias,weakness,obsession,openness,unsure 
construe,interpret,mix up,deceive,construct,unsure 
junta,group seizing power,peaceful transition,joint effort,courage,unsure 
dogmatic,opinionated,fair,holy,supernatural,unsure 
unstinting,very generous,hostile,not giving up,everlasting,unsure 
excoriate,criticize harshly,involve illegally,carry out ,laugh,unsure 
deign,stoop to,hate,advise,carry,unsure 
cadaverous,Corpse-like,representative,incomplete,dark,unsure 
begrudge,envy,entertain,insult,abuse,unsure 
conflate,mix together,separate,increase,mislead,unsure 
immure,confine,decrease,make stronger,become used to,unsure 
magnanimous,likely to forgive,lively ,shameful,numerous,unsure 
pontificate,speak pompously,describe briefly,capture randomly,officially appoint,unsure 
apotheosis,height of development,medical fact,coverup,blasphemy,unsure 
supercilious,arrogant,excluded,vengeful,required,unsure 
conspicuous,obvious,relevant,appreciated,observant,unsure 
perspicacious,very insightful,critical,notable,diligent,unsure 
mollify,soothe,praise,patronize,upset,unsure 
raconteur,storyteller,criminal,coward,traveler,unsure 
dispensation,exemption,declaration,natural tendency,payout,unsure 
arcane,understood by few,very old,obvious,critical,unsure 
atavism,throwback,defining feature,boastfulness,proper etiquette,unsure 
besiege,harass,praise,slander,evolve,unsure 
guffaw,laugh loudly,speak against,capture ,destroy,unsure 
besmirch,dishonor,hold in place,break apart,expend effort,unsure 
